Demanda,Produccion
379726,289005
383590,288843
378901,283581
378180,285621
385805,283991
378280,278314
382508,281096
384881,286894
393979,289128
399192,291325
397405,300522
400142,298923
401197,300322
397027,288698
398843,294429
399930,288966
411882,289987
414734,301602
416722,305825
423545,300411
421270,296024
419417,288411
413925,292026
403738,299610
383218,291977
397356,279246
399725,261122
401516,247962
403420,257533
400585,272710
393395,277922
392432,278756
390581,280322
393658,281600
389165,290013
385602,287523
383458,290308
376623,289714
371785,272855
378528,270928
380415,278858
382315,289115
375807,295525
373785,285904
370426,272186
363125,271141
368523,275921
374678,278926
372653,271111
369197,274168
365640,276441
367316,279609
359883,272157
355933,261951
346978,269340
338815,271776
333937,269896
335138,256237
330959,261623
336960,261008
336535,266390
330840,271649
331464,271386
324230,261876
325455,261264
327839,260377
326877,265327
324394,268437
323034,264163
317044,254121
309520,254120
306085,248361
311458,187266
306188,230758
308845,245055
310217,250199
307822,243992
308975,245927
308828,250691
303700,246000
293091,238801
296248,239103
292825,232224
293280,220695
295136,211192
287739,232226
287289,238819
277124,238343
276342,221201
280663,222448
286390,197947
283185,228283
281100,231768
273165,230239
270548,225412
273851,224116
276671,220800
274952,228077
273243,224294
277249,225485
277577,223414
275304,228661
277056,227880
275659,228861
277416,228332
282269,233913
280209,245530
277804,238402
276820,235132
277358,243247
274310,230796
271071,221097
271005,215033
265778,225059
273833,226127
272873,219780
275624,233901
284252,237508
295115,234104
297353,247312
323099,262720
329170,273672
334999,291624
334296,297487
337854,291842
341503,302761
348622,312544
357812,327902
357788,330412
353674,302048
352923,307049
366215,330035
385194,349468
389278,355281
394252,368376
399827,365741
399504,364832
402075,364029
403780,370154
398956,368741
398856,369720
399573,363483
403936,362650
405845,368026
414747,366358
413630,369744
409839,371431
413679,368859
415458,373796
419315,361880
417900,384549
420626,391214
425682,392388
433455,385421
427867,383670
445302,396071
456970,396955
463695,401896
471563,394565
476727,387351
481822,384220
473838,383872
471113,391972
474844,398265
469146,395671
479536,354050
483370,386930
475902,394999
477962,402118
475219,399356
475566,400736
472474,392124
480077,392931
485332,392952
491924,392949
490006,388648
494493,383446
499219,390288
488281,396855
489930,389748
494673,399131
491637,397496
499143,394722
498309,398809
497621,400600
494547,397937
501971,396468
502908,398479
501056,399452
500113,402844
502898,403081
501037,405765
493060,406278
495195,408344
493512,412650
497264,408738
494725,403638
492911,406457
499158,407472
490052,410599
500809,411728
501868,409285
502433,402674
501494,405316
507603,401763
504044,407000
493813,396889
496533,382857
498872,407030
504982,406373
502660,409295
503501,411181
506816,403802
494661,403813
498240,412941
500279,398368
501305,398909
503621,403740
501490,408595
497856,409035
494053,411296
498663,412802
502437,408809
507120,418040
510593,411768
512318,387451
507942,405034
494988,406705
495439,413295
497344,409645
502948,410333
506689,409702
508543,392808
501527,407775
498542,409103
505732,413487
515118,412173
517010,410317
516259,417068
511500,416154
509565,416890
505787,415625
503553,421260
498231,419186
502319,412941
497362,412936
496358,406715
497279,406456
490823,412713
486222,411360
483473,409122
481974,406450
475117,400249
479644,403614
484206,401009
476807,398162
488804,404655
498207,398456
491735,401555
490495,394149
484808,402471
483517,402082
482265,394399
480657,391779
474824,394168
470948,388087
471135,384923
470572,390317
474487,390663
462411,392302
467766,389570
469401,379102
465656,377820
463781,369051
466558,367450
461922,375271
449661,388455
450616,368865
444011,364075
440787,357453
442267,355144
445362,358145
448241,367190
441134,372152
446236,364433
440333,362091
433107,361504
431062,345000
431062,327429
396196,323278
361031,336726
369904,336713
367798,338151
375284,315667
344759,297659
320451,302389
319978,275605
289723,250443
266422,246410
260149,227967
248605,239370
252931,239127
254560,231009
246491,234066
244545,230012
235667,232588
239436,234157
242727,232276
242554,231943
240143,227500
237070,228742
238236,229799
236773,230073
238181,227442
236134,226136
238900,228655
239436,220653
236716,226663
234522,229264
236338,232794
243591,226595
241610,230234
253130,239156
280092,251137
316678,254243
310295,266835
312681,260860
314490,260514
321801,262594
321718,276787
319209,269896
311504,256755
295801,259681
289916,259742
288793,257560
288360,235387
287310,257270
298632,257643
321005,267088
331986,275721
339701,272979
342849,274621
364921,273898
381216,281787
387786,289794
377173,295867
371484,290397
365968,267235
375697,265910
389443,272995
405381,285184
398381,280298
394335,290496
392349,291644
395976,301684
395283,304712
397820,292079
401642,303169
403027,304299
392051,280649
385140,276750
377857,276404
392324,275060
400597,274435
402212,280194
398283,281007
408923,277224
414675,273897
415230,268031
418590,282330
431218,285232
413657,291644
431369,283070
425114,277740
442286,285486
440043,284356
455193,295241
465236,306679
456830,316806
448372,309943
465495,307188
461762,304561
434078,304536
434376,296506
441960,296823
443329,290901
424266,287062
443108,295404
440096,302395
435742,303506
438590,311275
443823,302922
443439,289996
433537,294462
426231,304986
414930,299576
397497,295055
405584,301330
407192,321765
414793,313817
409503,302844
398607,303989
385822,301232
368575,297846
365266,318419
393554,333313
430037,340623
448287,345887
445400,344878
420299,353269
424746,338367
413417,325736
410398,293151
396308,298655
375118,296528
356693,293828
356625,296104
331468,287810
326824,281290
314394,274931
308539,261047
313477,282819
338249,294075
332861,286547
332841,277541
322424,263598
322338,280068
325827,281567
324192,269232
319316,268395
303106,262100
283431,252788
296015,260189
296197,250261
281667,246367
268883,240230
259847,244140
259438,237582
255711,231986
266518,246917
265376,242067
263134,240888
259462,221747
257511,246293
268001,247767
270882,240546
274403,258818
289621,258563
282041,249028
272371,243796
264713,240695
260911,239811
260671,233967
258115,241716
262765,243334
267437,243992
262326,225616
265847,240549
260356,242132
260415,243313
260290,244731
261459,243096
262692,245546
269437,248082
272344,260723
282602,265128
288420,259920
284245,260051
277975,255569
275214,254335
272721,259313
270850,263101
274349,271890
282000,263906
283465,262667
279172,275184
288504,288817
309798,299923
324502,305686
342249,317642
352359,320796
371136,325099
344921,304380
325709,300122
325771,259414
316859,274876
320559,299753
338722,323765
346343,331537
362823,332617
363177,341441
383953,329452
358520,333472
367808,335388
370651,344372
395256,350844
384026,341921
383447,340279
384240,339543
393316,349187
410033,355599
421213,353770
432094,352330
441610,361348
461103,353863
463750,360599
467558,368599
476321,376146
484073,382274
476937,384518
464403,379281
424787,359393
384640,367812
443966,375027
463634,382754
460859,389561
437834,381214
441249,377387
466552,378576
488619,383079
484213,387906
475764,390500
486520,388406
490518,387738
492177,378392
496910,391420
473990,372383
497517,389296
514557,391956
524632,392438
495316,392936
498784,390929
487816,380035
475090,377050
470255,385836
483016,387194
503938,393222
507057,393152
499682,393667
490915,394257
519502,398693
517098,399899
516797,395302
517278,384903
522094,383176
527916,383591
540026,384239
554038,391242
558768,392610
554960,390864
555515,389262
568398,397000
569645,392812
570484,392471
568322,392297
553736,401208
557280,399939
557546,385745
572252,378176
578992,387538
579399,400581
577042,408247
594703,412741
611372,403515
608125,401785
584693,399558
590980,400579
610979,404007
610998,398459
602074,392637
619251,392562
626466,392481
624188,385837
627421,391480
611808,384032
588124,394397
607803,392696
604139,405956
595856,409853
584544,417625
588672,419550
599070,421892
595635,419336
595457,423944
577238,422705
569093,425164
574165,420795
586807,420594
588169,421879
581541,417951
582547,415407
575158,402786
570737,417723
563821,413549
559547,414810
569452,415746
560164,418773
556065,414914
554107,423409
561115,417684
563636,419924
551064,420956
553150,423877
561242,417934
574671,421258
575590,418479
586896,421898
581745,421431
590366,408144
577658,416586
576123,412210
580236,414076
587111,418801
589604,403829
585332,408534
578577,411740
582420,404379
586459,411769
581865,411171
580958,412386
564584,405768
555605,408184
548353,409778
554594,413981
543594,405919
539427,403748
546897,418114
553643,403972
542816,400625
523316,399910
522852,404011
527943,403034
524892,403635
519858,402510
511769,397128
504838,396642
472946,389567
471248,382418
468267,386475
452600,353309
444989,383013
431841,378241
413921,376716
376070,372931
361804,367271
370312,348732
348560,328933
342874,318707
335476,311470
334548,306106
339430,302828
336094,298870
336622,306027
325464,302435
320492,296295
325456,301561
325276,298163
330300,296685
334591,292856
308131,293757
296129,287278
291514,279861
290218,274651
280970,264311
275252,254893
269479,264854
275195,261865
290324,255892
278185,252792
278214,251792
281784,252250
268509,254082
273331,252930
274521,249599
277439,251277
275336,255438
271038,257439
266719,257368
252855,244781
257896,241287
253807,239203
255967,226187
264413,232113
266024,220565
263974,227157
267410,224245
294428,235767
290726,240014
275732,245867
286536,244954
285899,213139
284626,239318
308913,228827
292152,220873
287583,225674
288627,220731
299344,229186
299166,221813
316685,224565
316317,229713
316179,236287
318568,232487
324291,232797
333853,238412
335454,239825
342407,247348
341474,257013
351747,250956
352058,244282
354117,235607
360238,241254
366739,241048
366601,229914
373481,229716
378115,225599
385373,222247
382486,232302
384947,234748
387250,232773
385068,243762
400107,263994
419351,252816
416823,250551
476915,252357
403357,254450
398932,257066
400978,253611
398717,257100
397432,256350
395777,242625
395591,247303
398854,249832
405037,253488
406001,258897
404353,259925
407859,256563
406022,256305
416400,265315
415824,250163
410048,246979
412486,263122
416401,280107
422912,278105
426802,268035
418290,271204
421703,271558
412939,270906
421758,267157
446306,265451
447156,257104
444662,261876
514133,263354
433443,261095
420410,250682
411592,244063
378184,258898
414996,263655
437452,259780
417780,259097
406326,250813
406326,263234
403046,264439
397671,258896
387589,262317
395473,260137
406162,263383
400543,258133
401029,253251
385713,249319
367860,249830
348215,253516
341634,249017
353577,253591
333476,274019
319228,274869
291080,272170
318794,262494
373945,252107
372357,236877
360640,255409
473028,275014
416444,268966
381620,269612
419341,264928
368549,259426
362425,249135
364235,254860
363589,253852
349016,259163
336906,259344
324271,261353
317941,261769
343500,247453
344890,243335
333171,242392
320410,248930
323524,252198
313559,246357
288637,246048
320708,240732
351928,221286
339184,222326
306974,232757
283218,231243
279274,218078
300143,208158
306886,197202
285647,222498
281255,225259
278143,230639
279917,232129
290838,230334
287078,233395
277380,238805
265064,245129
293323,243516
286832,235717
275858,244028
274545,242793
281069,228555
287541,243276
298174,249037
282323,253407
280000,252380
276947,248273
286827,246256
300584,246975
316897,250727
309068,262820
290280,268337
293827,271550
302805,258340
304763,259370
298461,250740
312101,250059
318440,241801
333839,252855
348732,276979
363354,282555
392598,289854
380774,296639
385272,297117
390972,307291
406278,318678
415334,316000
397724,331582
395524,333124
392911,325972
403584,334348
397250,335812
397250,341320
397250,339273
455833,327127
415282,325392
427562,346250
428657,334054
422271,332773
425414,340385
441511,339399
458126,344370
461581,342032
467984,344105
481093,344269
494785,346634
482683,352361
