,Demanda,Produccion
2019-01-01,379726,289005
2019-01-02,383590,288843
2019-01-03,378901,283581
2019-01-04,378180,285621
2019-01-05,385805,283991
2019-01-06,378280,278314
2019-01-07,382508,281096
2019-01-08,384881,286894
2019-01-09,393979,289128
2019-01-10,399192,291325
2019-01-11,397405,300522
2019-01-12,400142,298923
2019-01-13,401197,300322
2019-01-14,397027,288698
2019-01-15,398843,294429
2019-01-16,399930,288966
2019-01-17,411882,289987
2019-01-18,414734,301602
2019-01-19,416722,305825
2019-01-20,423545,300411
2019-01-21,421270,296024
2019-01-22,419417,288411
2019-01-23,413925,292026
2019-01-24,403738,299610
2019-01-25,383218,291977
2019-01-26,397356,279246
2019-01-27,399725,261122
2019-01-28,401516,247962
2019-01-29,403420,257533
2019-01-30,400585,272710
2019-01-31,393395,277922
2019-02-01,392432,278756
2019-02-02,390581,280322
2019-02-03,393658,281600
2019-02-04,389165,290013
2019-02-05,385602,287523
2019-02-06,383458,290308
2019-02-07,376623,289714
2019-02-08,371785,272855
2019-02-09,378528,270928
2019-02-10,380415,278858
2019-02-11,382315,289115
2019-02-12,375807,295525
2019-02-13,373785,285904
2019-02-14,370426,272186
2019-02-15,363125,271141
2019-02-16,368523,275921
2019-02-17,374678,278926
2019-02-18,372653,271111
2019-02-19,369197,274168
2019-02-20,365640,276441
2019-02-21,367316,279609
2019-02-22,359883,272157
2019-02-23,355933,261951
2019-02-24,346978,269340
2019-02-25,338815,271776
2019-02-26,333937,269896
2019-02-27,335138,256237
2019-02-28,330959,261623
2019-03-01,336960,261008
2019-03-02,336535,266390
2019-03-03,330840,271649
2019-03-04,331464,271386
2019-03-05,324230,261876
2019-03-06,325455,261264
2019-03-07,327839,260377
2019-03-08,326877,265327
2019-03-09,324394,268437
2019-03-10,323034,264163
2019-03-11,317044,254121
2019-03-12,309520,254120
2019-03-13,306085,248361
2019-03-14,311458,187266
2019-03-15,306188,230758
2019-03-16,308845,245055
2019-03-17,310217,250199
2019-03-18,307822,243992
2019-03-19,308975,245927
2019-03-20,308828,250691
2019-03-21,303700,246000
2019-03-22,293091,238801
2019-03-23,296248,239103
2019-03-24,292825,232224
2019-03-25,293280,220695
2019-03-26,295136,211192
2019-03-27,287739,232226
2019-03-28,287289,238819
2019-03-29,277124,238343
2019-03-30,276342,221201
2019-03-31,280663,222448
2019-04-01,286390,197947
2019-04-02,283185,228283
2019-04-03,281100,231768
2019-04-04,273165,230239
2019-04-05,270548,225412
2019-04-06,273851,224116
2019-04-07,276671,220800
2019-04-08,274952,228077
2019-04-09,273243,224294
2019-04-10,277249,225485
2019-04-11,277577,223414
2019-04-12,275304,228661
2019-04-13,277056,227880
2019-04-14,275659,228861
2019-04-15,277416,228332
2019-04-16,282269,233913
2019-04-17,280209,245530
2019-04-18,277804,238402
2019-04-19,276820,235132
2019-04-20,277358,243247
2019-04-21,274310,230796
2019-04-22,271071,221097
2019-04-23,271005,215033
2019-04-24,265778,225059
2019-04-25,273833,226127
2019-04-26,272873,219780
2019-04-27,275624,233901
2019-04-28,284252,237508
2019-04-29,295115,234104
2019-04-30,297353,247312
2019-05-01,323099,262720
2019-05-02,329170,273672
