Produccion,Hours,Demanda
10494,1,11479
9914,2,10595
9452,3,10132
9334,4,10437
9832,5,11576
10736,6,13018
11611,7,15266
12426,8,16100
12471,9,16517
12873,10,16665
12896,11,17069
13060,12,17775
13108,13,17401
13076,14,17376
12973,15,17203
12946,16,16370
12968,17,18454
12966,18,18827
13138,19,19178
13017,20,18846
12983,21,18472
12659,22,17455
12196,23,16929
11876,24,16586
10161,1,11311
9552,2,10497
9277,3,9997
9360,4,10570
10069,5,11724
11650,6,13400
12697,7,15311
12784,8,16119
12636,9,16455
12491,10,16676
12032,11,17259
12537,12,18034
13015,13,17639
13161,14,17631
13047,15,17463
13164,16,16631
13172,17,18724
13164,18,19103
13210,19,19458
13000,20,19123
12975,21,18745
12558,22,17712
11839,23,17177
11292,24,16831
9902,1,11299
9339,2,10393
8941,3,9929
8813,4,10437
9402,5,11584
10767,6,13213
12073,7,15068
12035,8,15900
12272,9,16263
12427,10,16463
12744,11,17046
12856,12,17802
12898,13,17427
12775,14,17421
12776,15,17242
12868,16,16317
12979,17,18499
12926,18,18871
12975,19,19222
13007,20,18891
13115,21,18521
12776,22,17497
11680,23,16970
11235,24,16626
10189,1,11318
9505,2,10386
9150,3,9910
9180,4,10395
9777,5,11533
10770,6,12961
11707,7,15217
12324,8,16018
12764,9,16487
12884,10,16704
12977,11,16985
13023,12,17714
12863,13,17355
12739,14,17333
12795,15,17159
12845,16,16315
13041,17,18409
13114,18,18780
13036,19,19131
13002,20,18799
12825,21,18428
12251,22,17411
11651,23,16886
11209,24,16546
10167,1,11399
9534,2,10447
9304,3,10019
9305,4,10593
9944,5,11782
11036,6,13255
12002,7,15570
12333,8,16410
12379,9,16812
12612,10,16957
12610,11,17313
12509,12,18109
12491,13,17716
12463,14,17716
12417,15,17540
12482,16,16591
12881,17,18814
12906,18,19193
12881,19,19552
12867,20,19212
12812,21,18836
12569,22,17798
11964,23,17260
11523,24,16911
10307,1,11236
9479,2,10150
8982,3,9666
9014,4,10410
9624,5,11568
10680,6,13010
11591,7,15254
12013,8,15996
12377,9,16440
12362,10,16688
12444,11,17042
12434,12,17759
12397,13,17403
12300,14,17376
12292,15,17212
12328,16,16326
12456,17,18454
12444,18,18826
12486,19,19177
12532,20,18845
12509,21,18471
12378,22,17455
11775,23,16929
11110,24,16587
9975,1,11300
9625,2,10535
9324,3,10057
9320,4,10523
10142,5,11708
11337,6,13260
11791,7,15503
11920,8,16166
11836,9,16546
11995,10,16759
12265,11,17146
12359,12,17933
12338,13,17546
12385,14,17546
12410,15,17370
12380,16,16445
12606,17,18633
12721,18,19011
12737,19,19366
12746,20,19031
12651,21,18655
12476,22,17626
12032,23,17094
11725,24,16749
10760,1,11606
9893,2,10621
9608,3,10206
9709,4,10658
10336,5,11765
11515,6,13306
12283,7,15591
12434,8,16295
12556,9,16627
12446,10,16842
12426,11,17230
12475,12,18020
12754,13,17631
12815,14,17631
12616,15,17455
12650,16,16518
12626,17,18724
12527,18,19109
12561,19,19458
12663,20,19123
12542,21,18745
12438,22,17712
12292,23,17177
11969,24,16831
10838,1,11871
10088,2,10859
9706,3,10386
9735,4,10841
10511,5,12060
11755,6,13623
12059,7,15980
12221,8,16670
12333,9,17030
12335,10,17249
12385,11,17645
12392,12,18457
12386,13,18055
12414,14,18055
12550,15,17875
12627,16,16904
12790,17,19178
13219,18,19564
13089,19,19927
13136,20,19584
13101,21,19200
