Date,Demanda
2019-01-01 00:00:00,11479
2019-01-01 01:00:00,10595
2019-01-01 02:00:00,10132
2019-01-01 03:00:00,10437
2019-01-01 04:00:00,11576
2019-01-01 05:00:00,13018
2019-01-01 06:00:00,15266
2019-01-01 07:00:00,16100
2019-01-01 08:00:00,16517
2019-01-01 09:00:00,16665
2019-01-01 10:00:00,17069
2019-01-01 11:00:00,17775
2019-01-01 12:00:00,17401
2019-01-01 13:00:00,17376
2019-01-01 14:00:00,17203
2019-01-01 15:00:00,16370
2019-01-01 16:00:00,18454
2019-01-01 17:00:00,18827
2019-01-01 18:00:00,19178
2019-01-01 19:00:00,18846
2019-01-01 20:00:00,18472
2019-01-01 21:00:00,17455
2019-01-01 22:00:00,16929
2019-01-01 23:00:00,16586
2019-01-02 00:00:00,11311
2019-01-02 01:00:00,10497
2019-01-02 02:00:00,9997
2019-01-02 03:00:00,10570
2019-01-02 04:00:00,11724
2019-01-02 05:00:00,13400
2019-01-02 06:00:00,15311
2019-01-02 07:00:00,16119
2019-01-02 08:00:00,16455
2019-01-02 09:00:00,16676
2019-01-02 10:00:00,17259
2019-01-02 11:00:00,18034
2019-01-02 12:00:00,17639
2019-01-02 13:00:00,17631
2019-01-02 14:00:00,17463
2019-01-02 15:00:00,16631
2019-01-02 16:00:00,18724
2019-01-02 17:00:00,19103
2019-01-02 18:00:00,19458
2019-01-02 19:00:00,19123
2019-01-02 20:00:00,18745
2019-01-02 21:00:00,17712
2019-01-02 22:00:00,17177
2019-01-02 23:00:00,16831
2019-01-03 00:00:00,11299
2019-01-03 01:00:00,10393
2019-01-03 02:00:00,9929
2019-01-03 03:00:00,10437
2019-01-03 04:00:00,11584
2019-01-03 05:00:00,13213
2019-01-03 06:00:00,15068
2019-01-03 07:00:00,15900
2019-01-03 08:00:00,16263
2019-01-03 09:00:00,16463
2019-01-03 10:00:00,17046
2019-01-03 11:00:00,17802
2019-01-03 12:00:00,17427
2019-01-03 13:00:00,17421
2019-01-03 14:00:00,17242
2019-01-03 15:00:00,16317
2019-01-03 16:00:00,18499
2019-01-03 17:00:00,18871
2019-01-03 18:00:00,19222
2019-01-03 19:00:00,18891
2019-01-03 20:00:00,18521
2019-01-03 21:00:00,17497
2019-01-03 22:00:00,16970
2019-01-03 23:00:00,16626
2019-01-04 00:00:00,11318
2019-01-04 01:00:00,10386
2019-01-04 02:00:00,9910
2019-01-04 03:00:00,10395
2019-01-04 04:00:00,11533
